Key,English Value,Category,Tier
knowledge.mainCategories.facts,facts,knowledge.mainCategories,Tier 3
knowledge.mainCategories.import,Import,knowledge.mainCategories,Tier 3
knowledge.mainCategories.populate,Populate,knowledge.mainCategories,Tier 3
knowledge.maintenance.critical,Critical,knowledge.maintenance,Tier 3
knowledge.maintenance.databaseSize,Database Size,knowledge.maintenance,Tier 3
knowledge.maintenance.healthDashboard,Health Dashboard,knowledge.maintenance,Tier 3
knowledge.maintenance.healthError,"Unable to load health metrics. Click ""Refresh All"" to try again.",knowledge.maintenance,Tier 3
knowledge.maintenance.issuesFound,Issues Found,knowledge.maintenance,Tier 3
knowledge.maintenance.loadingHealth,Loading health metrics...,knowledge.maintenance,Tier 3
knowledge.maintenance.maintenanceHistory,Maintenance History,knowledge.maintenance,Tier 3
knowledge.maintenance.noHistory,No maintenance operations recorded in this session,knowledge.maintenance,Tier 3
knowledge.maintenance.qualityDimensions,Quality Dimensions,knowledge.maintenance,Tier 3
knowledge.maintenance.qualityScore,Quality Score,knowledge.maintenance,Tier 3
knowledge.maintenance.refreshAll,Refresh All,knowledge.maintenance,Tier 3
knowledge.maintenance.refreshing,Refreshing...,knowledge.maintenance,Tier 3
knowledge.maintenance.subtitle,"Monitor and maintain knowledge base health, handle duplicates, and clean up orphaned data",knowledge.maintenance,Tier 2
knowledge.maintenance.title,Knowledge Base Maintenance,knowledge.maintenance,Tier 2
knowledge.maintenance.topRecommendations,Top Recommendations,knowledge.maintenance,Tier 3
knowledge.maintenance.totalFacts,Total Facts,knowledge.maintenance,Tier 3
knowledge.maintenance.totalVectors,Total Vectors,knowledge.maintenance,Tier 3
knowledge.maintenance.warnings,Warnings,knowledge.maintenance,Tier 3
knowledge.manager.errorFallback,Knowledge Base failed to load. Please try refreshing.,knowledge.manager,Tier 3
knowledge.manager.tabAdvanced,Advanced,knowledge.manager,Tier 1
knowledge.manager.tabCategories,Categories,knowledge.manager,Tier 1
knowledge.manager.tabManage,Manage,knowledge.manager,Tier 1
knowledge.manager.tabPromptEditor,Prompts,knowledge.manager,Tier 1
knowledge.manager.tabSearch,Search,knowledge.manager,Tier 1
knowledge.manager.tabStatistics,Statistics,knowledge.manager,Tier 1
knowledge.manager.tabSystemDocs,System Docs,knowledge.manager,Tier 1
knowledge.manager.tabUpload,Upload,knowledge.manager,Tier 1
knowledge.memoryOrphan.activeSessions,Active Sessions,knowledge.memoryOrphan,Tier 3
knowledge.memoryOrphan.cleanUp,Clean Up,knowledge.memoryOrphan,Tier 3
knowledge.memoryOrphan.cleaning,Cleaning...,knowledge.memoryOrphan,Tier 3
knowledge.memoryOrphan.cleanupDescription,Remove orphaned entities that are no longer associated with any conversation.,knowledge.memoryOrphan,Tier 3
knowledge.memoryOrphan.cleanupError,Failed to clean up orphaned entities,knowledge.memoryOrphan,Tier 3
knowledge.memoryOrphan.cleanupTitle,Clean Up Orphans,knowledge.memoryOrphan,Tier 3
knowledge.memoryOrphan.conversationEntities,Conversation Entities,knowledge.memoryOrphan,Tier 3
knowledge.memoryOrphan.description,Detect and clean up orphaned memory entities from expired or deleted conversations.,knowledge.memoryOrphan,Tier 3
knowledge.memoryOrphan.orphanedEntities,Orphaned Entities,knowledge.memoryOrphan,Tier 3
knowledge.memoryOrphan.previewTitle,Orphaned Entity Preview,knowledge.memoryOrphan,Tier 3
knowledge.memoryOrphan.scanDescription,Analyze memory entities and identify those not linked to any active conversation.,knowledge.memoryOrphan,Tier 3
knowledge.memoryOrphan.scanError,Failed to scan memory entities,knowledge.memoryOrphan,Tier 3
knowledge.memoryOrphan.scanMeta,"Safe, read-only operation",knowledge.memoryOrphan,Tier 3
knowledge.memoryOrphan.scanNow,Scan Now,knowledge.memoryOrphan,Tier 3
knowledge.memoryOrphan.scanTitle,Scan for Orphans,knowledge.memoryOrphan,Tier 3
knowledge.memoryOrphan.scanning,Scanning...,knowledge.memoryOrphan,Tier 3
knowledge.memoryOrphan.title,Memory Entity Cleanup,knowledge.memoryOrphan,Tier 2
knowledge.persistence.addSelectedToKb,Add Selected to KB,knowledge.persistence,Tier 3
knowledge.persistence.addToKbDescription,Permanently store this item in the knowledge base for future reference.,knowledge.persistence,Tier 3
knowledge.persistence.addToKbLabel,Add to Knowledge Base,knowledge.persistence,Tier 3
knowledge.persistence.applyDecisions,Apply Decisions,knowledge.persistence,Tier 3
knowledge.persistence.associatedFiles,Associated Files,knowledge.persistence,Tier 3
knowledge.persistence.bulkActionsTitle,Bulk Actions,knowledge.persistence,Tier 3
knowledge.persistence.cancel,Cancel,knowledge.persistence,Tier 3
knowledge.persistence.compileButton,Compile,knowledge.persistence,Tier 3
knowledge.persistence.compileDescription,Create a compiled summary of this conversation for future reference.,knowledge.persistence,Tier 3
knowledge.persistence.compileFailed,Failed to compile conversation,knowledge.persistence,Tier 3
knowledge.persistence.compileTitle,Compile Conversation,knowledge.persistence,Tier 3
knowledge.persistence.compileTitleLabel,Title,knowledge.persistence,Tier 3
knowledge.persistence.compileTitlePlaceholder,Enter a title for the compiled summary,knowledge.persistence,Tier 3
knowledge.persistence.compiledSuccess,Conversation compiled successfully,knowledge.persistence,Tier 3
knowledge.persistence.createdLabel,Created,knowledge.persistence,Tier 3
knowledge.persistence.decisionsApplyFailed,Failed to apply decisions,knowledge.persistence,Tier 3
knowledge.persistence.defaultTopic,General Conversation,knowledge.persistence,Tier 3
knowledge.persistence.deleteDescription,Remove this item permanently.,knowledge.persistence,Tier 3
knowledge.persistence.deleteLabel,Delete,knowledge.persistence,Tier 3
knowledge.persistence.deleteSelected,Delete Selected,knowledge.persistence,Tier 3
knowledge.persistence.deselectAll,Deselect All,knowledge.persistence,Tier 3
knowledge.persistence.failedToLoad,Failed to load persistence data,knowledge.persistence,Tier 3
knowledge.persistence.includeSystemMessages,Include system messages,knowledge.persistence,Tier 3
knowledge.persistence.keepSelectedTemporarily,Keep Selected Temporarily,knowledge.persistence,Tier 3
knowledge.persistence.keepTemporaryDescription,Keep this item available during the session but don't persist it.,knowledge.persistence,Tier 3
knowledge.persistence.keepTemporaryLabel,Keep Temporarily,knowledge.persistence,Tier 3
knowledge.persistence.keywordsLabel,Keywords,knowledge.persistence,Tier 3
knowledge.persistence.knowledgeItems,Knowledge Items,knowledge.persistence,Tier 3
knowledge.persistence.reviewTitle,Review Items,knowledge.persistence,Tier 3
knowledge.persistence.selectAll,Select All,knowledge.persistence,Tier 3
knowledge.persistence.sourceLabel,Source,knowledge.persistence,Tier 3
knowledge.persistence.suggestionAddToKb,Suggested: Add to Knowledge Base,knowledge.persistence,Tier 3
knowledge.persistence.suggestionDelete,Suggested: Delete,knowledge.persistence,Tier 3
knowledge.persistence.suggestionKeepTemporary,Suggested: Keep Temporarily,knowledge.persistence,Tier 3
knowledge.persistence.title,Knowledge Persistence,knowledge.persistence,Tier 2
knowledge.persistence.topicLabel,Topic,knowledge.persistence,Tier 3
knowledge.promptEditor.allCategories,All Categories,knowledge.promptEditor,Tier 3
knowledge.promptEditor.categoryAgents,Agents,knowledge.promptEditor,Tier 2
knowledge.promptEditor.categorySystem,System,knowledge.promptEditor,Tier 2
knowledge.promptEditor.categoryTemplates,Templates,knowledge.promptEditor,Tier 2
knowledge.promptEditor.characters,{count} characters,knowledge.promptEditor,Tier 3
knowledge.promptEditor.confirmDiscardChanges,You have unsaved changes. Discard them?,knowledge.promptEditor,Tier 3
knowledge.promptEditor.contentPlaceholder,Enter prompt content...,knowledge.promptEditor,Tier 3
knowledge.promptEditor.errorLoadPrompts,Failed to load prompts,knowledge.promptEditor,Tier 3
knowledge.promptEditor.errorRevert,Failed to revert prompt,knowledge.promptEditor,Tier 3
knowledge.promptEditor.errorSavePrompt,Failed to save prompt,knowledge.promptEditor,Tier 3
knowledge.promptEditor.filterAgents,Agents,knowledge.promptEditor,Tier 3
knowledge.promptEditor.filterSystem,System,knowledge.promptEditor,Tier 3
knowledge.promptEditor.filterTemplates,Templates,knowledge.promptEditor,Tier 3
knowledge.promptEditor.history,History,knowledge.promptEditor,Tier 3
knowledge.promptEditor.loadingHistory,Loading version history...,knowledge.promptEditor,Tier 3
knowledge.promptEditor.loadingPrompts,Loading prompts...,knowledge.promptEditor,Tier 3
knowledge.promptEditor.noHistory,No version history available,knowledge.promptEditor,Tier 3
knowledge.promptEditor.noPrompts,No prompt templates found,knowledge.promptEditor,Tier 3
knowledge.promptEditor.noSearchResults,No prompts match your search,knowledge.promptEditor,Tier 3
knowledge.promptEditor.previewVersion,Preview - Version {version},knowledge.promptEditor,Tier 3
knowledge.promptEditor.revert,Revert,knowledge.promptEditor,Tier 3
knowledge.promptEditor.save,Save,knowledge.promptEditor,Tier 3
knowledge.promptEditor.searchPlaceholder,Search prompts...,knowledge.promptEditor,Tier 1
knowledge.promptEditor.selectPrompt,Select a prompt from the list to view or edit it.,knowledge.promptEditor,Tier 3
knowledge.promptEditor.subtitle,View and edit system prompt templates used by AutoBot agents,knowledge.promptEditor,Tier 2
knowledge.promptEditor.successReverted,Prompt reverted successfully,knowledge.promptEditor,Tier 3
knowledge.promptEditor.successSaved,Prompt saved successfully,knowledge.promptEditor,Tier 3
knowledge.promptEditor.title,Prompt Template Editor,knowledge.promptEditor,Tier 2
knowledge.promptEditor.unknown,Unknown,knowledge.promptEditor,Tier 3
knowledge.promptEditor.unsavedChanges,Unsaved Changes,knowledge.promptEditor,Tier 3
knowledge.promptEditor.variables,{count} variables,knowledge.promptEditor,Tier 3
knowledge.promptEditor.versionHistory,Version History,knowledge.promptEditor,Tier 3
knowledge.promptEditor.versionNumber,v{version},knowledge.promptEditor,Tier 3
knowledge.qualityScore.title,Quality: {score}%,knowledge.qualityScore,Tier 2
knowledge.research.accept,Accept,knowledge.research,Tier 3
knowledge.research.acceptTitle,Accept this source into knowledge base,knowledge.research,Tier 3
knowledge.research.accepted,Accepted,knowledge.research,Tier 3
knowledge.research.browserConnected,Browser connected,knowledge.research,Tier 3
knowledge.research.browserDisconnected,Browser disconnected,knowledge.research,Tier 3
knowledge.research.btnResearch,Research,knowledge.research,Tier 3
knowledge.research.btnStop,Stop,knowledge.research,Tier 3
knowledge.research.emptyState,No sources found yet. Start a research query above.,knowledge.research,Tier 3
knowledge.research.errorConnect,Failed to connect to research engine,knowledge.research,Tier 3
knowledge.research.errorGeneric,An error occurred during research,knowledge.research,Tier 3
knowledge.research.errorWebSocket,WebSocket connection error,knowledge.research,Tier 3
knowledge.research.foundSources,Found Sources,knowledge.research,Tier 3
knowledge.research.liveBrowserView,Live browser view,knowledge.research,Tier 3
knowledge.research.open,Open,knowledge.research,Tier 3
knowledge.research.queryPlaceholder,Enter a research topic or question...,knowledge.research,Tier 3
knowledge.research.refreshScreenshot,Refresh screenshot,knowledge.research,Tier 3
knowledge.research.reject,Reject,knowledge.research,Tier 3
knowledge.research.rejectTitle,Reject this source,knowledge.research,Tier 3
knowledge.research.rejected,Rejected,knowledge.research,Tier 3
knowledge.research.searching,Searching the web...,knowledge.research,Tier 3
knowledge.research.startQuery,Start a research query to see live results,knowledge.research,Tier 3
knowledge.research.statusConnecting,Connecting to research engine...,knowledge.research,Tier 3
knowledge.research.statusDisconnected,Disconnected from research engine,knowledge.research,Tier 3
knowledge.research.statusDone,"Done! Found {found} sources, stored {stored}",knowledge.research,Tier 3
knowledge.research.statusError,Error occurred,knowledge.research,Tier 3
knowledge.research.statusFound,Found: {title},knowledge.research,Tier 3
knowledge.research.statusReady,Ready to research,knowledge.research,Tier 3
knowledge.research.statusSearching,Searching with {engine}...,knowledge.research,Tier 3
knowledge.research.statusStarting,Starting research...,knowledge.research,Tier 3
knowledge.research.statusStopped,Research stopped,knowledge.research,Tier 3
knowledge.research.waitingBrowser,Waiting for browser connection...,knowledge.research,Tier 3
knowledge.scopeSelector.group,Group ({count} team{plural}),knowledge.scopeSelector,Tier 3
knowledge.scopeSelector.helpGroup,Members of selected groups can access this,knowledge.scopeSelector,Tier 3
knowledge.scopeSelector.helpOrganization,Everyone in the organization can access this,knowledge.scopeSelector,Tier 3
knowledge.scopeSelector.helpPrivate,Only you can access this knowledge,knowledge.scopeSelector,Tier 3
knowledge.scopeSelector.helpShared,Your team members can access this,knowledge.scopeSelector,Tier 3
knowledge.scopeSelector.helpSystem,All users and system processes can access this,knowledge.scopeSelector,Tier 3
knowledge.scopeSelector.label,Knowledge Scope,knowledge.scopeSelector,Tier 2
knowledge.scopeSelector.organization,Organization,knowledge.scopeSelector,Tier 3
knowledge.scopeSelector.private,Private (only me),knowledge.scopeSelector,Tier 3
knowledge.scopeSelector.selectTeams,Select Teams,knowledge.scopeSelector,Tier 3
knowledge.scopeSelector.shared,Shared (team),knowledge.scopeSelector,Tier 3
knowledge.scopeSelector.system,System-wide,knowledge.scopeSelector,Tier 3
knowledge.search.accessPlatform,Platform,knowledge.search,Tier 3
knowledge.search.accessPublic,Public,knowledge.search,Tier 3
knowledge.search.accessSystem,System,knowledge.search,Tier 3
knowledge.search.accessUser,User,knowledge.search,Tier 3
knowledge.search.aiSynthesis,AI Synthesis,knowledge.search,Tier 3
knowledge.search.allCategories,All Categories,knowledge.search,Tier 3
knowledge.search.autoEnhanceQuery,Auto-enhance query,knowledge.search,Tier 3
knowledge.search.clear,Clear,knowledge.search,Tier 3
knowledge.search.clearAccessLevelFilter,Clear access level filter,knowledge.search,Tier 3
knowledge.search.clearCategoryFilter,Clear category filter,knowledge.search,Tier 3
knowledge.search.clickToView,Click to view full document,knowledge.search,Tier 3
knowledge.search.close,Close,knowledge.search,Tier 3
knowledge.search.confidence,{value}% confidence,knowledge.search,Tier 3
knowledge.search.copyContent,Copy Content,knowledge.search,Tier 3
knowledge.search.defaultDocTitle,Untitled Document,knowledge.search,Tier 3
knowledge.search.enableReranking,Enable reranking,knowledge.search,Tier 3
knowledge.search.enhancedQuery,Enhanced query,knowledge.search,Tier 3
knowledge.search.fallbackNote,Tip: Some documents may not be indexed yet. Check the Manage tab for indexing status.,knowledge.search,Tier 3
knowledge.search.filterByAccessLevel,Filter by Access Level,knowledge.search,Tier 3
knowledge.search.filterByCategory,Filter by Category,knowledge.search,Tier 3
knowledge.search.filtering,Filtering: {category},knowledge.search,Tier 3
knowledge.search.foundResults,"Found {count} results for ""{query}""",knowledge.search,Tier 3
knowledge.search.indexHelpAfter,to set up indexing and vectorization.,knowledge.search,Tier 3
knowledge.search.indexHelpBefore,Visit the,knowledge.search,Tier 3
knowledge.search.indexHelpLink,Manage tab,knowledge.search,Tier 3
knowledge.search.loadingDocument,Loading document content...,knowledge.search,Tier 3
knowledge.search.matchScore,{value}% match,knowledge.search,Tier 3
knowledge.search.needToIndex,Need to index your knowledge first?,knowledge.search,Tier 3
knowledge.search.noContent,No content available,knowledge.search,Tier 3
